,Unnamed: 0,Unnamed: 1,地區,大廈名稱,家居檢疫最後日期
1,1,加惠臺 1座,中西區,,08/02/2020
2,2,香港大學賽馬會第三學生村宿舍 B棟,中西區,,08/02/2020
3,3,南豐新邨 6座,東區,,08/02/2020
4,4,翠樂邨翠祿樓,東區,,08/02/2020
5,5,逸東邨瑞逸樓,離島區,,08/02/2020
6,6,黃埔花園第 2期 10座,九龍城區,,08/02/2020
7,7,福年新樓 A座,九龍城區,,08/02/2020
8,8,香港城市大學學生宿舍 8座,九龍城區,,08/02/2020
9,9,大窩口邨富賢樓,葵青區,,08/02/2020
10,10 葵青區,長青邨青榕樓,,,08/02/2020
11,11 葵青區,梨木樹村健樹樓,,,08/02/2020
12,12 觀塘區,彩興苑彩薈閣,,,08/02/2020
13,13 觀塘區,宜安街 2-4號致昌大厦,,,08/02/2020
14,14 觀塘區,平田邨平誠樓,,,08/02/2020
15,15 觀塘區,樂華南邨奐華樓,,,08/02/2020
16,16 西貢區,日出康城 5座,,,08/02/2020
17,17 西貢區,李達三葉耀珍伉儷李本俊會議大樓,,,08/02/2020
18,18 西貢區,佳景路 9號浩明園,,,08/02/2020
19,19 沙田區,顯徑邨顯富樓,,,08/02/2020
20,20 沙田區,大圍名城 3期 3座,,,08/02/2020
21,21 深水埗區,榮昌邨榮俊樓,,,08/02/2020
22,22 深水埗區,海麗邨海和樓,,,08/02/2020
23,23 荃灣區,爵悅庭西爵軒,,,08/02/2020
24,24 荃灣區,環宇海灣 8 座,,,08/02/2020
25,25 屯門區,美樂花園 4座,,,08/02/2020
26,26 屯門區,美樂花園 10座,,,08/02/2020
1,鍾屋村,,27 屯門區,,08/02/2020
2,屯門海翠花園 6座,,28 屯門區,,08/02/2020
3,海華苑 2期,,29 灣仔區,,08/02/2020
4,黃大仙上邨昌善樓,,30 黃大仙區,,08/02/2020
5,凱帆軒 2座,,31 油尖旺區,,08/02/2020
6,媽横路 45-67號福順樓,,32 元朗區,,08/02/2020
7,嘉湖山莊麗湖居 4座,,33 元朗區,,08/02/2020
8,峻巒 1A期 10A座,,34 元朗區,,08/02/2020
9,嘉湖山莊賞湖居 2 座,,35 元朗區,,08/02/2020
10,屏欣苑屏彥閣 B座,,36 元朗區,,08/02/2020
11,皇后大道西 427-437號生昌大厦,,37 中西區,,09/02/2020
12,蕪湖街 181號裕新大廈 C座,,38 九龍城區,,09/02/2020
13,上水圍大元村 7巷,,39 北區,,09/02/2020
14,清河村清照樓,,40 北區,,09/02/2020
15,鴨脷洲邨利添樓,,41 南區,,09/02/2020
16,太和邨寶雅苑興和閣,,42 大埔區,,09/02/2020
17,大窩口邨富德樓,,43 荃灣區,,09/02/2020
18,香港理工大學勵志堂,,44 油尖旺區,,09/02/2020
19,港景峰 1座,,45 油尖旺區,,09/02/2020
20,水邊圍邨泉水樓,,46 元朗區,,09/02/2020
21,天富苑朗富閣,,47 元朗區,,09/02/2020
22,天慈村慈平樓,,48 元朗區,,09/02/2020
23,天富苑榮富閣,,49 元朗區,,09/02/2020
24,粉嶺中心 A座,,50 北區,,10/02/2020
25,富豪花園富儷閣,,51 沙田區,,10/02/2020
26,弼街 69號,,52 油尖旺區,,10/02/2020
27,新都大廈 A座,,53 屯門區,,11/02/2020
28,朗屏邨悅屏樓,,54 元朗區,,11/02/2020
29,汝洲街 259號彩蘭樓,,55 深水埗區,,12/02/2020
1,蝴蝶邨蝶翎樓,,56 屯門區,,12/02/2020
2,平田邨平誠樓,,57 觀塘區,,13/02/2020
3,廣田邨廣靖樓,,58 觀塘區,,13/02/2020
4,莆上村 15號,,59 北區,,13/02/2020
5,牽晴間 11 座,,60 北區,,13/02/2020
6,銀禧花園 5座,,61 沙田區,,13/02/2020
7,大圍名城 2 期,,62 沙田區,5 座,13/02/2020
8,福華街 206號榮安大廈,,63 深水埗區,,13/02/2020
9,嘉湖山莊賞湖居 5座,,64 元朗區,,13/02/2020
10,沙田中心廣寧大廈,,65 沙田區,,14/02/2020
11,鳳德村碧鳳樓,,66 黃大仙區,,16/02/2020
12,葵涌大廈 A座,,67 葵青區,,18/02/2020
13,灝景灣 1座,,68 葵青區,,18/02/2020
14,蝶翠峰 3座,,69 元朗區,,20/02/2020
