,Unnamed: 0,District,Name of Building,End Date of HomeQuarantine
0,1,Central andWestern,"Hang Yue Building, 334-350 Des VoeuxRoad West",07/02/2020
1,2,Central andWestern,"Bic Wah Court, 464 Des Voeux Road West",07/02/2020
2,3,Central andWestern,"Liang Ga Building, 296-302 Des VoeuxRoad West",07/02/2020
3,4,Central andWestern,"New College, Jockey Club Student VillageIII, Hong Kong University",07/02/2020
4,5,Eastern,"Block C, Sunway Gardens",07/02/2020
5,6,Islands,"Ying Yuet House, Ying Tung Estate",07/02/2020
6,7,Kowloon City,"Fook Hing House, 44A Fuk Lo Tsun Road",07/02/2020
7,8,Kowloon City,"Good Rich Mansion, 7-8 Wa Fung Street",07/02/2020
8,9,Kowloon City,3A Waterloo Road,07/02/2020
9,10,Kwai Tsing,"Kwai Ching House, Kwai Fong Estate",07/02/2020
10,11,Kwai Tsing,"Block 1, Kwai Chung Plaza",07/02/2020
11,12,Kwun Tong,"Tin Chi House, Shun Tin Estate",07/02/2020
12,13,Sai Kung,"Yee Yan House, Yee Ming Estate",07/02/2020
13,14,Sai Kung,"Tai Po Tsai Village, Clear Water Bay Road",07/02/2020
14,15,Sha Tin,"Tsun Chuen House, Shui Chuen O Estate",07/02/2020
15,16,Sha Tin,"Block K, Phase 4 Sunshine City",07/02/2020
16,17,Sha Tin,"Block 49, City One",07/02/2020
17,18,Sha Tin,"Chan Kwan Tung Inter-university Hall, TheChinese University of Hong Kong",07/02/2020
18,19,Southern,"Ngan On House , Yue On Court",07/02/2020
19,20,Wong Tai Sin,"Lai Yuen House, Chuk Yuen South Estate",07/02/2020
20,21,Wong Tai Sin,"Lung Yat House, Lower Wong Tai Sin Estate",07/02/2020
21,22,Yau Tsim Mong,"Tower 2, Eltanin Square Mile",07/02/2020
22,23,Yau Tsim Mong,"Lucky House, 18-24 Jordan Road",07/02/2020
23,24,Yau Tsim Mong,"Tower 1, Eltanin Square Mile",07/02/2020
0,25,Yau Tsim Mong,"iRent, 46-52 Portland Street",07/02/2020
1,26,Yuen Long,"Ngau Keng Tsuen, Kam Sheung Road",07/02/2020
2,27,Central andWestern,"Block 1, Cayman Rise",08/02/2020
3,28,Central andWestern,"Hall B, Jockey Club Student Village III,The University of Hong Kong",08/02/2020
4,29,Eastern,"Block 6, Nan Fung Sun Chuen",08/02/2020
5,30,Eastern,"Tsui Luk House, Tsui Lok Estate",08/02/2020
6,31,Islands,"Sui Yat House, Yat Tung Estate",08/02/2020
7,32,Kowloon City,"Block 10, Cherry Mansions, WhampoaGarden (Site2)",08/02/2020
8,33,Kowloon City,"Block A, Fok Lin Building",08/02/2020
9,34,Kwai Tsing,"Fu Yin House, Tai Wo Hau Estate",08/02/2020
10,35,Kwai Tsing,"Tsing Yung House, Cheung Tsing Estate",08/02/2020
11,36,Kwun Tong,"Choi Wui House, Choi Hing Court",08/02/2020
12,37,Kwun Tong,"Chi Cheong Building, 2-4 Yee On Street",08/02/2020
13,38,Kwun Tong,"Ping Shing House, Ping Tin Estate",08/02/2020
14,39,Sai Kung,"Tower 5, Le Prestige of Lohas Park",08/02/2020
15,40,Sai Kung,Li Dak Sum Yip Yio Chin Kenneth LiConference Lodge,08/02/2020
16,41,Sai Kung,"Ho Ming Court, 9 Kai King Road",08/02/2020
17,42,Sha Tin,"Hin Fu House, Hin Keng Estate",08/02/2020
18,43,Sha Tin,"Tower 3, Phase 3, Festival City",08/02/2020
19,44,Sham Shui Po,"Wing Chun House, Wing Cheong Estate",08/02/2020
20,45,Sham Shui Po,"Hoi Wo House, Hoi Lai Estate",08/02/2020
21,46,Tsuen Wan,"Tower West, Chelsea Court, 100 Yeung UkRoad",08/02/2020
22,47,Tsuen Wan,"Block 8, City Point",08/02/2020
23,48,Tuen Mun,"Block 4, Melody Garden",08/02/2020
24,49,Tuen Mun,"Block 10, Melody Garden",08/02/2020
0,50,Tuen Mun,Chung Uk Tsuen (Tuen Mun),08/02/2020
1,51,Tuen Mun,"Block 6, Pierhead Garden",08/02/2020
2,52,Wan Chai,"Block 2, Hoover Towers",08/02/2020
3,53,Wong Tai Sin,"Cheong Sin House, Upper Wong Tai SinEstate",08/02/2020
4,54,Yau Tsim Mong,"Tower 2, Hampton place",08/02/2020
5,55,Yuen Long,"Fook Shun Building, 45-67 Ma Wang Road",08/02/2020
6,56,Yuen Long,"Block 4, Lynwood Court, Kingswood Villas(Phase 5)",08/02/2020
7,57,Yuen Long,"Block 10A, Phase 1A Park Vista",08/02/2020
8,58,Yuen Long,"Block 2, Sherwood Court, Kingswood Villas",08/02/2020
9,59,Central andWestern,"Sang Cheong Building, 427-437 Queen'sRoad West",09/02/2020
10,60,Kowloon City,"Block C, Yue Sun Mansion, 181 WuhuStreet",09/02/2020
11,61,North,"Lane 7, Tai Yuen Tsuen, Sheung Shui Wai",09/02/2020
12,62,North,"Ching Chiu House, Ching Ho Estate",09/02/2020
13,63,Southern,"Lei Tim House, Ap Lei Chau Estate",09/02/2020
14,64,Tai Po,"Hing Wo House, Po Nga Court, Tai WoEstate",09/02/2020
15,65,Tsuen Wan,"Fu Tak House, Tai Wo Hau Estate",09/02/2020
16,66,Yau Tsim Mong,"Lizhi Hall, The Hong Kong PolytechnicUniversity",09/02/2020
17,67,Yau Tsim Mong,"Block 1, Victoria Towers",09/02/2020
18,68,Yuen Long,"Chuen Shui House, Shui Pin Wai Estate",09/02/2020
19,69,Yuen Long,"Long Fu House, Tin Fu Court",09/02/2020
20,70,Yuen Long,"Tsz Ping House, Tin Tsz Estate",09/02/2020
21,71,Yuen Long,"Wing Fu House, Tin Fu Court",09/02/2020
22,72,North,"Block A, Fanling Centre",10/02/2020
23,73,Sha Tin,"Fontana Heights, Belair Garden",10/02/2020
24,74,Yau Tsim Mong,69 Bute Street,10/02/2020
0,75,Tuen Mun,"Block A, New Town Mansion",11/02/2020
1,76,Yuen Long,"Yuet Ping House, Long Ping Estate",11/02/2020
2,77,Sham Shui Po,"Choi Lan House, 259 Yu Chau Street",12/02/2020
3,78,Tuen Mun,"Tip Ling House, Butterfly Estate",12/02/2020
4,79,Kwun Tong,"Ping Shing House, Ping Tin Estate",13/02/2020
5,80,North,15 Po Sheung Tsuen,13/02/2020
6,81,North,"Block 11, Dawning Views",13/02/2020
7,82,Sha Tin,"Block 5, Jubilee Garden",13/02/2020
8,83,Sha Tin,"Tower 5, Phase 2 Festival City",13/02/2020
9,84,Sham Shui Po,"Wing On Building, 206 Fuk Wah Street",13/02/2020
10,85,Yuen Long,"Block 5, Sherwood Court, Kingswood Villas",13/02/2020
11,86,Sha Tin,"Kwong Ning Building, Shatin Centre",14/02/2020
12,87,Wong Tai Sin,"Pik Fung House, Fung Tak Estate",16/02/2020
13,88,Kwai Tsing,"Block A, Kwai Chung Building, 18 Shek PuiStreet",18/02/2020
